code,lon,lat,name,city
SVAC,-69.23318,9.550041,Oswaldo Guevara Mujica,Acarigua
SVGD,-70.799846,7.233374,Guasdualito,Guasdualito
SKUC,-70.736936,7.068911,Santiago Perez,Arauca
SVPA,-67.599846,5.600041,Puerto Ayacucho,Puerto Ayacucho
SBYA,-69.185836,0.6075,Iauarete,Iauarete
SKLT,-69.942689,-4.193147,Alfredo Vasquez Cobo,Leticia
SBTT,-69.937778,-4.250556,Tabatinga Intl,Tabatinga
SBTK,-70.780556,-8.1575,Tarauaca,Tarauaca
SBRB,-67.898055,-9.868889,Presidente Medice Intl,Rio Branco
SLCO,-68.782778,-11.045,Cobija,Cobija
SPTU,-69.222222,-12.622222,Padre Jose Aldamiz,Puerto Maldonado
SPJL,-70.157778,-15.466945,Manco Capac Intl,Juliaca
SLLP,-68.169661,-16.514053,El Alto Intl,La Paz
SPTN,-70.275822,-18.053289,Col Carlos Ciriani Santa Rosa,Tacna
SCAR,-70.338611,-18.348611,Chacalluta Intl,Arica
SCDA,-70.181389,-20.535278,Diego Aracena Intl,Iquique
SCCF,-68.903611,-22.498333,El Loa,Calama
SCFA,-70.445,-23.444444,Cerro Moreno Intl,Antofagasta
SCAT,-70.779245,-27.261405,Desierto De Atacama,Copiapo
SCSE,-71.199444,-29.916389,La Florida,La Serena
SCEL,-70.785833,-33.390555,Arturo Merino Benitez Intl,Santiago
SCTB,-70.547222,-33.456945,Eulogio Sanchez,Santiago
SAME,-68.792778,-32.831389,El Plumerillo,Mendoza
SCIC,-71.216944,-34.966944,General Freire,General Freire
SAZN,-68.155833,-38.948889,Presidente Peron,Neuquen
SAZS,-71.157778,-41.151111,S C De Bariloche,S C De Bariloche
SAVE,-71.144167,-42.906945,Esquel,Esquel
SAWG,-69.312778,-51.608889,Norberto Fernandez,Rio Gallegos
SCCI,-70.853611,-53.003611,Carlos Ibanez Del Campo Intl,Punta Arenas
SAWE,-67.75,-53.7775,Rio Grande,Rio Grande
SAWH,-68.295556,-54.843333,Ushuaia Intl Malvine Is,Ushuaia
CYVM,-64.031389,67.545833,Qikiqtarjuaq,Qikiqtarjuaq
CYXP,-65.713611,66.145,Pangnirtung,Pangnirtung
CYLU,-65.992778,58.711389,Kangiqsualujjuaq Georges River,Kangiqsualujjuaq
CYKL,-66.805333,54.805167,Schefferville,Schefferville
CZUM,-64.106389,53.561944,Churchill Falls,Churchill Falls
CYWK,-66.864444,52.921945,Wabush,Wabush
CYZV,-66.265556,50.223334,Sept-Iles,Sept-Iles
CYGP,-64.478611,48.775278,Gaspe,Gaspe
CZBF,-65.738889,47.629722,Bathurst,Bathurst
CYFC,-66.537222,45.868889,Fredericton,Fredericton
CYSJ,-65.890278,45.316111,Saint John,Saint John
CYQM,-64.678611,46.112222,Greater Moncton Intl,Moncton
CYQI,-66.088056,43.826945,Yarmouth,Yarmouth
CYZX,-64.916944,44.984445,Greenwood,Greenwood
TXKF,-64.678678,32.364039,Bermuda Intl,Bermuda Is
TJBQ,-67.129444,18.494861,Rafael Hernandez,Aguadilla
TJIG,-66.098833,18.45675,Fernando Luis Ribas Dominicci,San Juan
TJSJ,-66.001833,18.439417,Luis Munoz Marin Intl,San Juan
TIST,-64.973361,18.337305,King,St Thomas I/Charlotte Am
TUPJ,-64.541231,18.445736,Terrance B Lettsome,Roadtown
TJMZ,-67.148472,18.255694,Eugenio Maria De Hostos,Mayaguez
TJPS,-66.563028,18.008305,Mercedita,Ponce
TISX,-64.798556,17.701889,Henry E Rohlsen,St Croix I
SVMI,-66.989543,10.606518,Simon Bolivar Intl,Maiquetia
SVFM,-66.83318,10.483374,Gen Francisco Miranda AB,Caracas
SVMG,-63.964846,10.915874,Del Caribe Intl Gen Santiago M,Margarita
SVBC,-64.686513,10.110041,Gen. Jose Antonio Anzoategui I,Barcelona
SVCU,-64.129568,10.453929,Mariscal Antonio Jose De Sucre,Cumana
SVJM,-67.33318,9.841707,Guarico Mun,San Juan De Los Morros
SVST,-64.149846,8.950041,San Tome,San Tome
SVSR,-67.433179,7.883374,San Fernando De Apure,San Fernando De Apure
SKPC,-67.493056,6.185556,Puerto Carreno,Puerto Carreno
SBUA,-66.985833,-0.148056,Sao Gabriel Da Cachoeira,Sao Gabriel Da Cachoeira
SBTF,-64.730833,-3.380278,Tefe,Tefe
SBPV,-63.902778,-8.713611,Gov J Teixeira De Oliveira Int,Porto Velho
SLRI,-66.116667,-11,Cap De Av Selin Zeitun Lopez,Riberalta
SBGM,-65.281667,-10.788333,Guajara Mirim,Guajara Mirim
SLJO,-64.816667,-13.066667,San Joaquin,San Joaquin
